Delta_P_MPa,P_f_MPa,f_j,l_d_um2_s,d_um,t_s,rho_mm-2,Retained
2.00,5.60,0.050,200,158,3.950,148.02,FALSE
2.00,5.60,0.050,200,158,4.917,142.71,FALSE
2.00,5.60,0.050,200,158,6.292,137.61,TRUE
2.00,5.60,0.050,200,158,7.907,114.17,TRUE
2.00,5.60,0.050,200,158,9.846,98.35,TRUE
2.00,5.60,0.050,200,158,12.488,80.59,TRUE
2.00,5.60,0.050,200,158,15.695,62.82,TRUE
2.00,5.60,0.050,200,158,19.908,48.35,TRUE
2.00,5.60,0.050,200,158,24.796,36.75,TRUE
2.00,5.60,0.050,200,158,31.736,30.50,FALSE
2.28,5.88,0.056,210,234,1.975,109.28,FALSE
2.28,5.88,0.056,210,234,3.355,82.15,TRUE
2.28,5.88,0.056,210,234,5.700,55.17,TRUE
2.28,5.88,0.056,210,234,9.690,28.49,TRUE
2.28,5.88,0.056,210,234,16.466,17.75,TRUE
2.28,5.88,0.056,210,234,28.235,11.49,FALSE
2.62,6.22,0.056,223,234,0.995,150.83,FALSE
2.62,6.22,0.056,223,234,1.488,125.25,TRUE
2.62,6.22,0.056,223,234,2.266,86.21,TRUE
2.62,6.22,0.056,223,234,3.357,58.60,TRUE
2.62,6.22,0.056,223,234,5.020,35.59,TRUE
2.62,6.22,0.056,223,234,7.508,21.88,TRUE
2.62,6.22,0.056,223,234,11.224,16.65,FALSE
4.69,8.29,0.056,300,234,0.996,129.80,FALSE
4.69,8.29,0.056,300,234,1.298,111.84,TRUE
4.69,8.29,0.056,300,234,1.676,91.65,TRUE
4.69,8.29,0.056,300,234,2.185,68.81,TRUE
4.69,8.29,0.056,300,234,2.875,51.03,TRUE
4.69,8.29,0.056,300,234,3.647,37.83,TRUE
4.69,8.29,0.056,300,234,4.754,30.24,TRUE
4.69,8.29,0.056,300,234,6.198,23.87,TRUE
4.69,8.29,0.056,300,234,8.152,19.56,FALSE
